,ra,dec,psfmag_i,mjd_i,run
52.48175496,14.64988677,0.75050075,20.963953,5.29362496E4,4207
48.19377964,14.64997893,0.74887756,21.16502,5.29362496E4,4207
41.64017899,14.65485363,0.75035897,20.068632,5.29362496E4,4207
59.9828068,14.65552904,0.72394907,21.398399,5.29362496E4,4207
57.95518104,14.67417944,0.74762525,20.552057,5.29362496E4,4207
57.36667821,14.65516133,0.75518294,20.980886,5.29362496E4,4207
57.41332092,14.64571177,0.73291315,15.649582,5.32703136E4,4849
53.86898724,14.64754128,0.73171052,18.576113,5.32703136E4,4849
42.79131313,14.65052307,0.73282428,21.26112,5.32703136E4,4849
57.92930639,14.67417768,0.74761333,20.497683,5.32703136E4,4849
41.57282131,14.65486215,0.75034231,20.085793,5.32703136E4,4849
48.01619352,14.65002255,0.74885241,21.009398,5.32703136E4,4849
52.29689163,14.64987538,0.75041828,21.065432,5.32703136E4,4849
57.26484534,14.65518495,0.75516076,21.03981,5.32703136E4,4849
57.37115888,14.64571461,0.7329338,15.633756,5.32723636E4,4858
53.82149743,14.64754521,0.73172844,18.566114,5.32723636E4,4858
29.23094558,14.66806127,0.73902202,20.89646,5.36353174E4,5622
29.60504061,14.66816963,0.73905332,20.748972,5.36373104E4,5633
36.42637439,14.65012735,0.74222032,20.393749,5.36373104E4,5633
36.57380652,14.6500923,0.74225101,20.527594,5.36393557E4,5642
25.70890454,14.65758677,0.73327867,12.519034,5.36393561E4,5642
29.42206199,14.66811891,0.73905719,20.768995,5.36393561E4,5642
36.58362733,14.65008784,0.74224371,20.499098,5.36543378E4,5709
29.35677305,14.66809881,0.73904154,20.765152,5.36543378E4,5709
25.70947479,14.65758272,0.73327995,12.485268,5.36632987E4,5744
36.66459707,14.65006173,0.74223014,20.451363,5.36632987E4,5744
29.49964989,14.66813949,0.73904758,20.637394,5.36632987E4,5744
25.73868,14.65757953,0.73327248,12.621442,5.36652766E4,5759
36.6152989,14.65007208,0.74221368,20.776096,5.36652766E4,5759
29.45229243,14.66812704,0.73905439,20.921158,5.36652766E4,5759
36.64616747,14.65007359,0.7422594,20.360186,5.36663684E4,5765
25.77654342,14.65758541,0.73325919,12.512501,5.36663688E4,5765
29.35144475,14.66809835,0.73905031,20.617916,5.36663688E4,5765
25.72328867,14.65759203,0.73327253,12.514279,5.36682882E4,5770
29.44862289,14.66812656,0.73905913,20.469049,5.36682882E4,5770
36.80288701,14.65002014,0.74222019,20.352861,5.36682882E4,5770
25.7356283,14.65762412,0.7332575,12.57712,5.36702928E4,5781
29.48800011,14.66813542,0.73904066,20.542599,5.36702928E4,5781
36.65503413,14.65007016,0.74225543,20.268911,5.36702928E4,5781
36.6499545,14.65007488,0.74226981,20.535269,5.36732609E4,5792
29.52049445,14.66814431,0.73903896,20.78504,5.36732609E4,5792
29.40172772,14.66811283,0.73905379,20.679897,5.36752577E4,5800
36.7382599,14.65004904,0.74226683,20.364914,5.36752577E4,5800
36.60770797,14.65008035,0.74224089,20.492191,5.36772789E4,5813
29.40574248,14.66811439,0.73905757,20.907652,5.36772789E4,5813
